Name,Release_Year,Description,Minimum_Players,Maximum_Players,Minimum_Time,Maximum_Time,Age_Rating,Complexity_Score,BGG_Rating,Game_Categories,Game_Mechanics,BGG_Rank,Complexity_Category
The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",2,4,30,90,12,3.0,8.15,"['dice', 'medieval', 'territory-building']","['dice-rolling', 'end-game-bonuses', 'grid-coverage', 'hexagon-grid', 'open-drafting', 'pattern-building', 'tile-placement', 'turn-order-stat-based', 'variable-set-up']",15,Medium
Dune: Imperium - Uprising,2023,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",1,6,60,120,13,3.5,8.73,"['movies-tv-radio-theme', 'novel-based', 'political', 'science-fiction']","['card-play-conflict-resolution', 'deck-bag-and-pool-building', 'delayed-purchase', 'force-commitment', 'increase-value-of-unchosen-resources', 'multi-use-cards', 'open-drafting', 'solo-solitaire-game', 'team-based-game', 'turn-order-progressive', 'variable-player-powers', 'worker-placement']",16,Medium
Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,2,4,75,150,12,3.7,8.18,"['american-west', 'animals', 'economic']","['deck-bag-and-pool-building', 'hand-management', 'ownership', 'set-collection', 'track-movement', 'variable-set-up']",17,Medium
Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",1,5,90,115,14,3.4,8.13,"['economic', 'fighting', 'science-fiction', 'territory-building']","['area-majority-influence', 'card-play-conflict-resolution', 'contracts', 'end-game-bonuses', 'force-commitment', 'grid-movement', 'hexagon-grid', 'king-of-the-hill', 'movement-points', 'narrative-choice-paragraph', 'solo-solitaire-game', 'take-that', 'tech-trees-tech-tracks', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource', 'zone-of-control']",18,Medium
Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",2,6,60,200,14,3.7,8.43,"['civilization', 'exploration', 'science-fiction', 'space-exploration', 'wargame']","['alliances', 'area-majority-influence', 'area-impulse', 'dice-rolling', 'grid-movement', 'hexagon-grid', 'income', 'modular-board', 'passed-action-token', 'tech-trees-tech-tracks', 'variable-player-powers']",19,Medium
7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,2,2,10,50,10,2.2,8.09,"['ancient', 'card-game', 'city-building', 'civilization', 'economic']","['end-game-bonuses', 'income', 'layering', 'market', 'modular-board', 'multi-use-cards', 'once-per-game-abilities', 'open-drafting', 'set-collection', 'sudden-death-ending', 'tags', 'tech-trees-tech-tracks', 'tug-of-war', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource']",20,Medium
Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,2,4,60,120,14,3.9,8.2,"['economic', 'industry-manufacturing', 'post-napoleonic', 'transportation']","['hand-management', 'income', 'loans', 'market', 'network-and-route-building', 'tech-trees-tech-tracks', 'turn-order-stat-based']",21,Medium
Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",1,5,90,180,12,3.5,8.26,"['adventure', 'horror', 'miniatures', 'science-fiction']","['campaign-battle-card-driven', 'cooperative-game', 'dice-rolling', 'hand-management', 'hidden-roles', 'interrupts', 'modular-board', 'player-elimination', 'semi-cooperative-game', 'solo-solitaire-game', 'team-based-game', 'traitor-game', 'variable-player-powers']",22,Medium
Clank! Legacy: Acquisitions Incorporated,2019,"Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!",2,4,90,120,13,2.7,8.53,"['adventure', 'fantasy', 'miniatures']","['deck-bag-and-pool-building', 'delayed-purchase', 'end-game-bonuses', 'events', 'legacy-game', 'map-addition', 'movement-points', 'narrative-choice-paragraph', 'once-per-game-abilities', 'open-drafting', 'pick-up-and-deliver', 'player-elimination', 'point-to-point-movement', 'push-your-luck', 'scenario-mission-campaign-game', 'set-collection', 'variable-player-powers', 'variable-set-up']",23,Medium
A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",1,4,30,120,12,3.9,8.17,"['economic', 'farming', 'industry-manufacturing', 'medieval', 'puzzle']","['automatic-resource-growth', 'dice-rolling', 'grid-coverage', 'income', 'push-your-luck', 'solo-solitaire-game', 'tile-placement', 'turn-order-pass-order', 'worker-placement']",24,Medium
Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,2,5,80,120,13,3.0,8.09,"['ancient', 'economic', 'nautical']","['action-retrieval', 'advantage-token', 'auction-dutch', 'deck-bag-and-pool-building', 'end-game-bonuses', 'hand-management', 'hidden-victory-points', 'investment', 'movement-points', 'open-drafting', 'point-to-point-movement', 'set-collection', 'variable-set-up']",25,Medium
Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,1,4,90,180,14,4.4,8.8,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['campaign-battle-card-driven', 'communication-limits', 'cooperative-game', 'deck-construction', 'deck-bag-and-pool-building', 'grid-movement', 'hand-management', 'hexagon-grid', 'legacy-game', 'modular-board', 'multi-use-cards', 'narrative-choice-paragraph', 'once-per-game-abilities', 'scenario-mission-campaign-game', 'simultaneous-action-selection', 'solo-solitaire-game', 'variable-player-powers']",26,Heavy
Great Western Trail: Second Edition,2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,1,4,75,150,12,3.7,8.31,"['american-west', 'animals', 'economic']","['deck-bag-and-pool-building', 'hand-management', 'ownership', 'set-collection', 'solo-solitaire-game', 'tags', 'track-movement', 'variable-set-up']",27,Medium
Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,1,2,60,120,14,3.6,8.13,"['adventure', 'card-game', 'collectible-components', 'exploration', 'horror', 'novel-based']","['action-points', 'area-movement', 'communication-limits', 'cooperative-game', 'deck-construction', 'events', 'hand-management', 'map-deformation', 'modular-board', 'push-your-luck', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'stat-check-resolution', 'variable-player-powers']",28,Medium
Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,1,4,30,120,12,2.9,8.07,"['adventure', 'ancient', 'exploration', 'fantasy', 'travel']","['contracts', 'deck-bag-and-pool-building', 'market', 'multi-use-cards', 'once-per-game-abilities', 'resource-to-move', 'solo-solitaire-game', 'turn-order-progressive', 'worker-placement']",29,Medium
Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,2,4,60,90,10,3.8,8.07,"['animals', 'fantasy', 'negotiation', 'territory-building', 'wargame']","['action-points', 'action-queue', 'action-retrieval', 'area-majority-influence', 'area-movement', 'dice-rolling', 'hand-management', 'multi-use-cards', 'negotiation', 'point-to-point-movement', 'race', 'sudden-death-ending', 'take-that', 'variable-player-powers', 'variable-set-up']",30,Medium
Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,2,5,60,150,12,4.0,8.05,"['civilization', 'economic', 'fantasy', 'territory-building']","['area-majority-influence', 'chaining', 'end-game-bonuses', 'hexagon-grid', 'income', 'increase-value-of-unchosen-resources', 'network-and-route-building', 'tech-trees-tech-tracks', 'turn-order-pass-order', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource']",31,Medium
Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife preserve.,1,5,40,70,10,2.5,8.03,"['animals', 'card-game', 'educational']","['action-queue', 'dice-rolling', 'end-game-bonuses', 'hand-management', 'once-per-game-abilities', 'open-drafting', 'set-collection', 'solo-solitaire-game', 'turn-order-progressive']",32,Medium
Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,1,4,60,120,12,3.9,8.33,"['adventure', 'dice', 'fantasy', 'fighting']","['cooperative-game', 'dice-rolling', 'die-icon-resolution', 'grid-movement', 'narrative-choice-paragraph', 'resource-to-move', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'square-grid', 'stat-check-resolution', 'tech-trees-tech-tracks', 'turn-order-role-order', 'variable-player-powers']",33,Medium
Orléans,2014,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",2,5,70,110,12,3.0,8.05,"['medieval', 'religious', 'travel']","['contracts', 'deck-bag-and-pool-building', 'end-game-bonuses', 'events', 'kill-steal', 'point-to-point-movement', 'simultaneous-action-selection', 'tech-trees-tech-tracks', 'turn-order-progressive', 'variable-set-up', 'worker-placement-different-worker-types']",34,Medium
Mage Knight Board Game,2011,"Build your hero's spells, abilities, and artifacts as you explore & conquer cities.",1,4,60,240,14,4.4,8.08,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['card-play-conflict-resolution', 'cooperative-game', 'deck-bag-and-pool-building', 'dice-rolling', 'grid-movement', 'hand-management', 'hexagon-grid', 'modular-board', 'multi-use-cards', 'open-drafting', 'role-playing', 'solo-solitaire-game', 'tags', 'turn-order-claim-action', 'variable-player-powers']",35,Heavy
Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,1,4,60,120,14,4.1,8.16,"['economic', 'environmental', 'industry-manufacturing']","['action-retrieval', 'contracts', 'end-game-bonuses', 'income', 'network-and-route-building', 'ownership', 'solo-solitaire-game', 'turn-order-stat-based', 'variable-player-powers', 'variable-set-up', 'worker-placement']",36,Heavy
The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game with variable missions.,2,5,5,40,10,2.0,8.11,"['adventure', 'card-game', 'deduction', 'mythology', 'nautical']","['communication-limits', 'cooperative-game', 'hand-management', 'scenario-mission-campaign-game', 'trick-taking']",37,Light
Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,1,4,40,80,10,2.8,8.01,"['animals', 'card-game', 'city-building', 'fantasy']","['contracts', 'end-game-bonuses', 'hand-management', 'income', 'open-drafting', 'ownership', 'set-collection', 'solo-solitaire-game', 'variable-set-up', 'worker-placement']",38,Medium
Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,1,6,45,90,13,2.9,7.98,"['economic', 'farming']","['contracts', 'hand-management', 'race', 'solo-solitaire-game', 'turn-order-auction', 'victory-points-as-a-resource', 'worker-placement', 'worker-placement-different-worker-types']",39,Medium
Sky Team,2023,Pilot and co-pilot work together to land planes.,2,2,5,35,12,2.1,8.19,['aviation-flight'],"['communication-limits', 'cooperative-game', 'dice-rolling', 'scenario-mission-campaign-game', 'worker-placement-with-dice-workers']",40,Medium
Heat: Pedal to the Metal,2022,Manage your race car's speed to keep from overheating.,1,6,30,60,10,2.2,8.04,"['racing', 'sports']","['catch-the-leader', 'deck-bag-and-pool-building', 'hand-management', 'programmed-movement', 'push-your-luck', 'race', 'simulation', 'simultaneous-action-selection', 'solo-solitaire-game', 'track-movement', 'variable-set-up']",41,Medium
Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,1,4,45,90,14,2.9,8.12,"['card-game', 'collectible-components', 'comic-book-strip', 'fighting']","['card-play-conflict-resolution', 'cooperative-game', 'deck-construction', 'hand-management', 'interrupts', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'turn-order-progressive', 'variable-player-powers', 'variable-set-up']",42,Medium
Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,2,5,120,240,14,4.2,8.05,"['economic', 'industry-manufacturing']","['delayed-purchase', 'income', 'market', 'modular-board', 'open-drafting', 'simultaneous-action-selection', 'victory-points-as-a-resource']",43,Heavy
Pax Pamir: Second Edition,2019,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",1,5,45,120,13,3.9,8.16,"['economic', 'educational', 'negotiation', 'political', 'post-napoleonic', 'spies-secret-agents']","['action-points', 'area-majority-influence', 'area-movement', 'auction-dutch', 'hand-management', 'increase-value-of-unchosen-resources', 'negotiation', 'open-drafting', 'score-and-reset-game', 'simulation', 'solo-solitaire-game', 'tags', 'take-that']",44,Medium
Underwater Cities,2018,"Develop future cities on the seafloor through politics, production, and science.",1,4,80,150,12,3.6,8.05,"['card-game', 'city-building', 'civilization', 'industry-manufacturing', 'nautical', 'science-fiction']","['end-game-bonuses', 'hand-management', 'income', 'network-and-route-building', 'solo-solitaire-game', 'turn-order-claim-action', 'turn-order-stat-based', 'worker-placement']",45,Medium
Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,2,4,10,50,8,1.2,8.05,['action-dexterity'],"['flicking', 'team-based-game']",46,Light
Kanban EV,2020,EV-factory workers optimize and innovate to stand out at the big board meeting.,1,4,60,180,14,4.3,8.41,"['economic', 'industry-manufacturing']","['action-points', 'hand-management', 'variable-phase-order', 'worker-placement']",47,Heavy
Puerto Rico,2002,"Ship goods, construct buildings, and choose roles that benefit you more than others.",3,5,90,150,12,3.3,7.91,"['city-building', 'economic', 'farming']","['action-drafting', 'end-game-bonuses', 'follow', 'hidden-victory-points', 'increase-value-of-unchosen-resources', 'turn-order-progressive', 'variable-phase-order']",48,Medium
Cascadia,2021,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,1,4,30,45,10,1.9,7.93,"['animals', 'environmental', 'puzzle']","['end-game-bonuses', 'hexagon-grid', 'open-drafting', 'pattern-building', 'solo-solitaire-game', 'tile-placement', 'variable-set-up', 'victory-points-as-a-resource']",49,Light
Caverna: The Cave Farmers,2013,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",1,7,30,210,12,3.8,7.94,"['animals', 'economic', 'fantasy', 'farming']","['automatic-resource-growth', 'increase-value-of-unchosen-resources', 'solo-solitaire-game', 'tile-placement', 'turn-order-claim-action', 'worker-placement']",50,Medium
Pandemic Legacy: Season 0,2020,Work together during the Cold War to prevent a Soviet bio-threat.,2,4,45,60,14,3.2,8.38,['spies-secret-agents'],"['action-points', 'cooperative-game', 'hand-management', 'legacy-game', 'point-to-point-movement', 'scenario-mission-campaign-game', 'set-collection', 'tags', 'trading', 'variable-player-powers']",51,Medium
Anachrony,2017,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,1,4,30,120,15,4.0,8.06,"['economic', 'science-fiction']","['contracts', 'dice-rolling', 'end-game-bonuses', 'solo-solitaire-game', 'turn-order-claim-action', 'variable-player-powers', 'worker-placement', 'worker-placement-different-worker-types']",52,Medium
On Mars,2020,"Be a part of the first Martian colony, striving to be the best contributor.",1,4,90,150,14,4.7,8.18,"['city-building', 'economic', 'exploration', 'science-fiction', 'space-exploration', 'territory-building']","['contracts', 'delayed-purchase', 'end-game-bonuses', 'hexagon-grid', 'income', 'movement-points', 'moving-multiple-units', 'set-collection', 'solo-solitaire-game', 'tech-trees-tech-tracks', 'tile-placement', 'variable-phase-order', 'worker-placement']",53,Heavy
Blood Rage,2015,Ragnarōk has come! Secure your place in Valhalla in epic Viking battles.,2,4,60,90,14,2.9,7.92,"['fantasy', 'fighting', 'miniatures', 'mythology']","['action-points', 'area-majority-influence', 'area-movement', 'card-play-conflict-resolution', 'closed-drafting', 'hand-management', 'map-reduction', 'memory', 'open-drafting', 'simultaneous-action-selection', 'take-that']",54,Medium
Hegemony: Lead Your Class to Victory,2023,"Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.",2,4,90,180,14,4.2,8.44,"['economic', 'educational', 'negotiation', 'political']","['action-event', 'hand-management', 'roles-with-asymmetric-information', 'simulation', 'variable-player-powers', 'voting', 'worker-placement-different-worker-types']",55,Heavy
Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,1,5,30,150,12,3.6,7.87,"['animals', 'economic', 'farming']","['automatic-resource-growth', 'closed-drafting', 'enclosure', 'hand-management', 'increase-value-of-unchosen-resources', 'solo-solitaire-game', 'turn-order-claim-action', 'variable-player-powers', 'worker-placement']",56,Medium
Cthulhu: Death May Die,2019,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,1,5,90,120,14,2.5,8.19,"['fantasy', 'fighting', 'horror', 'miniatures', 'novel-based']","['action-points', 'area-movement', 'cooperative-game', 'dice-rolling', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'variable-player-powers']",57,Medium
Oathsworn: Into the Deepwood,2022,Fight for humanity's survival against unnatural horrors and the Deepwood itself.,1,4,30,90,14,3.7,8.91,"['adventure', 'card-game', 'dice', 'exploration', 'fantasy', 'fighting', 'miniatures', 'mythology', 'puzzle']","['action-points', 'card-play-conflict-resolution', 'cooperative-game', 'deck-bag-and-pool-building', 'dice-rolling', 'hand-management', 'hexagon-grid', 'legacy-game', 'modular-board', 'pattern-recognition', 'push-your-luck', 'role-playing', 'scenario-mission-campaign-game', 'storytelling', 'variable-player-powers']",58,Medium
Sleeping Gods,2021,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",1,4,60,1200,13,3.2,8.17,"['adventure', 'exploration', 'fantasy', 'fighting', 'nautical']","['action-points', 'cooperative-game', 'events', 'hand-management', 'narrative-choice-paragraph', 'push-your-luck', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'storytelling']",59,Medium
Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,1,4,60,120,12,4.6,8.18,"['city-building', 'economic', 'industry-manufacturing', 'political']","['area-majority-influence', 'hand-management', 'multi-use-cards', 'open-drafting', 'solo-solitaire-game', 'tile-placement']",60,Heavy
Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,2,4,40,80,14,3.3,8.03,"['environmental', 'exploration', 'medical', 'science-fiction']","['action-points', 'cooperative-game', 'hand-management', 'legacy-game', 'pick-up-and-deliver', 'point-to-point-movement', 'scenario-mission-campaign-game', 'set-collection', 'tags', 'trading', 'variable-player-powers']",61,Medium
Obsession,2018,"Renovate an estate, manage servants, and pursue romance in Victorian England.",1,4,30,90,14,3.1,8.12,['post-napoleonic'],"['action-retrieval', 'deck-bag-and-pool-building', 'hand-management', 'open-drafting', 'solo-solitaire-game']",62,Medium
Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,1,5,120,180,14,2.7,7.93,"['adventure', 'exploration', 'fantasy', 'fighting', 'horror', 'miniatures', 'murder-mystery', 'mythology', 'puzzle']","['area-movement', 'cooperative-game', 'dice-rolling', 'hand-management', 'map-addition', 'modular-board', 'role-playing', 'scenario-mission-campaign-game', 'solo-solitaire-game', 'stat-check-resolution', 'traitor-game', 'variable-player-powers']",63,Medium
Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,2,4,60,120,12,3.2,7.95,['economic'],"['action-drafting', 'contracts', 'dice-rolling', 'end-game-bonuses', 'hand-management', 'set-collection', 'variable-set-up']",64,Medium
Tzolk'in: The Mayan Calendar,2012,"Lead your people, build monuments and make offerings to earn the favour of the gods.",2,4,70,110,13,3.7,7.85,"['ancient', 'civilization', 'economic', 'farming', 'mythology']","['bias', 'end-game-bonuses', 'turn-order-claim-action', 'worker-placement']",65,Medium
Power Grid,2004,"Bid, network, and manage resources in a race to supply the most cities with power.",2,6,100,140,12,3.3,7.8,"['economic', 'industry-manufacturing']","['auction-bidding', 'auction-turn-order-until-pass', 'catch-the-leader', 'income', 'market', 'network-and-route-building', 'turn-order-stat-based', 'variable-set-up']",66,Medium
Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,1,4,30,120,12,3.9,7.99,"['economic', 'exploration', 'nautical', 'pirates']","['contracts', 'end-game-bonuses', 'events', 'hand-management', 'income', 'movement-points', 'multi-use-cards', 'narrative-choice-paragraph', 'point-to-point-movement', 'scenario-mission-campaign-game', 'set-collection', 'solo-solitaire-game', 'stock-holding', 'tech-trees-tech-tracks', 'track-movement', 'variable-set-up']",67,Medium
Age of Innovation,2023,Terraform the world to expand your faction and create innovations on the way.,1,5,40,200,14,4.3,8.6,"['civilization', 'fantasy', 'territory-building']","['contracts', 'end-game-bonuses', 'hexagon-grid', 'income', 'modular-board', 'network-and-route-building', 'turn-order-pass-order', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource']",68,Heavy
The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",2,4,25,65,10,1.9,7.81,['medieval'],"['catch-the-leader', 'deck-bag-and-pool-building', 'delayed-purchase', 'dice-rolling', 'events', 'open-drafting', 'push-your-luck', 'simultaneous-action-selection', 'variable-set-up']",69,Light
Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",1,4,30,120,12,3.5,7.94,"['economic', 'farming']","['commodity-speculation', 'contracts', 'income', 'market', 'modular-board', 'network-and-route-building', 'solo-solitaire-game', 'turn-order-pass-order', 'variable-player-powers']",70,Medium
Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",1,5,30,150,12,3.7,7.84,"['city-building', 'economic', 'industry-manufacturing', 'nautical']","['automatic-resource-growth', 'end-game-bonuses', 'increase-value-of-unchosen-resources', 'loans', 'ownership', 'solo-solitaire-game', 'worker-placement']",71,Medium
